epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.078,1.00191,5.31314,0.02141,0.04097,0.6,0.05147,0.02757,0.62703,7.94012,0.01552,6.25e-05,6.25e-05,6.25e-05
2,78.731,0.90805,5.46429,0.01961,0.04285,0.6375,0.06975,0.05472,0.48748,7.76421,0.01386,0.000134777,0.000134777,0.000134777
3,113.013,0.73537,5.32345,0.01522,0.02509,0.6625,0.06571,0.04203,0.56885,7.80305,0.01605,0.000204085,0.000204085,0.000204085
4,148.681,0.79311,5.06266,0.01596,0.0225,0.75,0.13186,0.09338,0.64387,7.8362,0.01823,0.000270422,0.000270422,0.000270422
5,185.217,0.82119,4.98447,0.01604,0.01394,0.8625,0.20563,0.15024,0.63917,7.81189,0.01802,0.00033379,0.00033379,0.00033379
6,223.571,0.81489,4.82897,0.01687,0.01131,0.95,0.17031,0.12402,0.70268,7.83717,0.02045,0.000394188,0.000394188,0.000394188
7,259.102,0.78361,4.43642,0.01455,0.00885,0.95,0.16618,0.11095,0.83471,7.92197,0.02571,0.000451615,0.000451615,0.000451615
8,292.67,0.83143,4.50177,0.01675,0.00757,0.95,0.19788,0.11798,0.84211,7.81804,0.02498,0.000506072,0.000506072,0.000506072
9,326.803,0.87684,4.3144,0.01787,0.00754,0.925,0.19176,0.12352,0.72553,7.58137,0.02035,0.00055756,0.00055756,0.00055756
10,360.548,0.82746,4.02336,0.01625,0.00765,0.925,0.23032,0.1409,0.70957,7.47294,0.01949,0.000606078,0.000606078,0.000606078
11,395.625,0.9145,4.00051,0.01748,0.00688,0.95,0.21897,0.15281,0.78622,7.43075,0.02198,0.000651625,0.000651625,0.000651625
12,434.643,0.86828,4.05965,0.01975,0.00693,0.95,0.26337,0.17982,1.00364,7.50116,0.02954,0.000694203,0.000694203,0.000694203
13,475.204,0.86139,3.80483,0.01794,0.00759,0.95,0.39671,0.31008,0.90792,7.44039,0.02624,0.00073381,0.00073381,0.00073381
14,514.982,0.90599,3.72153,0.01888,0.36344,0.4875,0.40634,0.30821,1.01909,7.25991,0.03002,0.000770448,0.000770448,0.000770448
15,553.842,0.92817,3.53934,0.01949,0.41376,0.35944,0.40813,0.31278,1.03189,7.14485,0.03093,0.000804115,0.000804115,0.000804115
16,589.305,0.93838,3.50495,0.01918,0.39221,0.48592,0.40949,0.28886,1.27845,6.92301,0.03962,0.000834813,0.000834813,0.000834813
17,625.032,0.93683,3.43169,0.0195,0.57463,0.47529,0.56099,0.38713,1.24839,6.8933,0.03895,0.000854,0.000854,0.000854
18,664.219,0.89408,3.38947,0.01767,0.56619,0.2375,0.38227,0.28097,1.19629,6.54644,0.03528,0.00082925,0.00082925,0.00082925
19,704.347,0.81663,3.23246,0.01675,0.66528,0.19812,0.3438,0.24742,1.04557,6.32555,0.03072,0.0008045,0.0008045,0.0008045
20,743.233,0.90668,3.17325,0.01786,0.30489,0.21005,0.33326,0.23242,0.90162,5.99368,0.02592,0.00077975,0.00077975,0.00077975
21,780.509,0.90679,3.17766,0.01823,0.71409,0.175,0.30473,0.20852,0.98208,5.99666,0.0279,0.000755,0.000755,0.000755
22,815.622,0.87136,3.13325,0.01878,0.34066,0.2543,0.37953,0.23205,0.99465,5.80723,0.02925,0.00073025,0.00073025,0.00073025
23,847.698,0.83714,2.91332,0.01709,0.34764,0.32712,0.37407,0.23957,0.97263,5.68508,0.02803,0.0007055,0.0007055,0.0007055
24,879.787,0.87761,2.92226,0.01674,0.58003,0.30012,0.36591,0.26427,1.20725,5.5068,0.03442,0.00068075,0.00068075,0.00068075
25,911.94,0.8862,2.75231,0.01671,0.27437,0.375,0.35115,0.24605,1.17588,5.39223,0.03367,0.000656,0.000656,0.000656
26,943.843,0.90995,2.98645,0.01892,0.34047,0.27729,0.38041,0.26453,1.13477,5.16871,0.03163,0.00063125,0.00063125,0.00063125
27,979.152,0.91575,2.66214,0.01707,0.36657,0.27342,0.3893,0.26672,1.10605,5.0541,0.03094,0.0006065,0.0006065,0.0006065
28,1011.98,0.85697,2.73156,0.01685,0.50227,0.4,0.41495,0.26549,1.09832,4.82822,0.03195,0.00058175,0.00058175,0.00058175
29,1044.71,0.96188,2.72113,0.01914,0.54876,0.44048,0.38052,0.23983,0.99259,4.82524,0.02957,0.000557,0.000557,0.000557
30,1079.65,0.85574,2.64781,0.0176,0.57753,0.325,0.40551,0.2607,1.05415,4.65569,0.03147,0.00053225,0.00053225,0.00053225
31,1116.38,0.86533,2.58473,0.01756,0.69201,0.32042,0.40163,0.28215,0.93583,4.64686,0.02729,0.0005075,0.0005075,0.0005075
32,1149.42,0.82332,2.59545,0.01627,0.62554,0.33603,0.3451,0.24287,0.94074,4.53439,0.02779,0.00048275,0.00048275,0.00048275
33,1183.01,0.88627,2.58308,0.01928,0.62153,0.37264,0.38048,0.25241,0.9672,4.52504,0.02858,0.000458,0.000458,0.000458
34,1215.42,0.81816,2.57251,0.01702,0.65298,0.35,0.39252,0.27315,1.04007,4.38432,0.03016,0.00043325,0.00043325,0.00043325
35,1247.57,0.82771,2.33331,0.01585,0.67488,0.3487,0.37767,0.2681,1.05782,4.3465,0.03085,0.0004085,0.0004085,0.0004085
36,1280.32,0.81548,2.32056,0.0165,0.65368,0.35,0.3628,0.25959,1.02665,4.24644,0.02971,0.00038375,0.00038375,0.00038375
37,1312.58,0.79699,2.30114,0.01584,0.60978,0.35,0.34748,0.24997,0.99812,4.20173,0.02919,0.000359,0.000359,0.000359
38,1345.85,0.78732,2.20998,0.0161,0.65491,0.40107,0.42087,0.30704,1.03889,4.04107,0.03073,0.00033425,0.00033425,0.00033425
39,1378.53,0.83338,2.26403,0.01637,0.66049,0.40692,0.41129,0.31535,1.02046,3.99872,0.03013,0.0003095,0.0003095,0.0003095
40,1411.74,0.77866,2.14274,0.01392,0.64233,0.4125,0.41895,0.3141,1.00737,3.88786,0.02895,0.00028475,0.00028475,0.00028475
41,1444.23,0.72827,3.72472,0.02099,0.7444,0.37732,0.42387,0.3167,1.00242,3.85491,0.02869,0.00026,0.00026,0.00026
42,1476.51,0.74356,3.75919,0.02256,0.69824,0.4625,0.44001,0.31782,1.01646,3.84142,0.02945,0.00023525,0.00023525,0.00023525
43,1508.71,0.68872,3.56156,0.02056,0.66384,0.42758,0.42984,0.30293,1.0585,3.86693,0.03083,0.0002105,0.0002105,0.0002105
44,1541.02,0.64676,3.47208,0.01891,0.63116,0.42155,0.44373,0.3061,1.07714,3.86249,0.03127,0.00018575,0.00018575,0.00018575
45,1573.21,0.73437,3.423,0.02198,0.54433,0.52843,0.42274,0.30253,1.0685,3.85388,0.03076,0.000161,0.000161,0.000161
46,1605.32,0.6787,3.52242,0.02049,0.62052,0.425,0.43548,0.31217,0.99583,3.85023,0.02812,0.00013625,0.00013625,0.00013625
47,1638.96,0.66748,3.48163,0.02157,0.65035,0.45122,0.45324,0.32283,0.94678,3.83426,0.0263,0.0001115,0.0001115,0.0001115
48,1679.72,0.65632,3.33361,0.01961,0.62821,0.44258,0.43675,0.32107,0.92721,3.82736,0.02541,8.675e-05,8.675e-05,8.675e-05
